組み合わせ,丸亀,若松,蒲郡,住之江,桐生,下関
1-2,679,629,559,467,566,239
1-3,403,471,359,394,419,208
1-4,378,340,319,290,296,130
1-5,199,192,200,202,229,57
1-6,135,162,104,128,101,66
2-1,251,269,177,249,198,78
2-3,105,92,124,86,111,32
2-4,102,78,80,87,105,21
2-5,64,61,65,51,59,12
2-6,46,44,41,50,51,16
3-1,158,147,188,121,159,62
3-2,83,66,77,90,87,25
3-4,99,66,86,75,89,22
3-5,81,55,51,48,69,17
3-6,42,48,45,55,42,15
4-1,137,121,113,97,131,53
4-2,69,63,75,59,78,23
4-3,56,48,60,50,76,23
4-5,71,58,81,61,118,16
4-6,48,34,46,45,65,10
5-1,91,61,57,66,96,20
5-2,45,34,52,41,49,13
5-3,33,35,38,29,53,9
5-4,46,27,40,36,51,10
5-6,36,23,25,21,26,7
6-1,39,41,36,31,36,23
6-2,27,29,19,22,29,12
6-3,23,18,22,22,17,11
6-4,20,21,22,26,20,12
6-5,27,19,25,12,18,4
